validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy
0.2600755784277851,0.47999998927116394,0,3,,
,,0,3,0.2646082639694214,0.49494948983192444
0.2562434792714385,0.47999998927116394,1,7,,
,,1,7,0.2558678388595581,0.5353535413742065
0.25201651514683915,0.4000000059604645,2,11,,
,,2,11,0.24624888598918915,0.5656565427780151
0.24757777491780042,0.4000000059604645,3,15,,
,,3,15,0.23679402470588684,0.5959596037864685
0.2421459515182262,0.4000000059604645,4,19,,
,,4,19,0.22927717864513397,0.6565656661987305
0.23337626510231463,0.5600000023841858,5,23,,
,,5,23,0.22058479487895966,0.6666666865348816
0.2225993548827491,0.6399999856948853,6,27,,
,,6,27,0.20758174359798431,0.7070707082748413
0.2107777565576425,0.7200000286102295,7,31,,
,,7,31,0.1925577074289322,0.7575757503509521
0.19652915421978834,0.7599999904632568,8,35,,
,,8,35,0.17794765532016754,0.7777777910232544
0.1826296797394445,0.7599999904632568,9,39,,
,,9,39,0.1640084832906723,0.8181818127632141
0.17325957145984494,0.800000011920929,10,43,,
,,10,43,0.1510668247938156,0.8282828330993652
0.16995426238962813,0.8399999737739563,11,47,,
,,11,47,0.14169204235076904,0.8282828330993652
0.17062419180448046,0.8399999737739563,12,51,,
,,12,51,0.13485117256641388,0.8383838534355164
0.17006211977759428,0.800000011920929,13,55,,
,,13,55,0.12927471101284027,0.8383838534355164
0.1729561940224245,0.800000011920929,14,59,,
,,14,59,0.12440382689237595,0.8484848737716675
0.17659541126490155,0.800000011920929,15,63,,
,,15,63,0.11880353838205338,0.8484848737716675
0.17735522474726642,0.800000011920929,16,67,,
,,16,67,0.1130857840180397,0.8585858345031738
0.1776360713908643,0.800000011920929,17,71,,
,,17,71,0.10747934877872467,0.8888888955116272
0.17838459998197018,0.800000011920929,18,75,,
,,18,75,0.10354617983102798,0.8888888955116272
0.17754479220909924,0.800000011920929,19,79,,
,,19,79,0.10067994892597198,0.9090909361839294
0.17577751243489942,0.800000011920929,20,83,,
,,20,83,0.09877974539995193,0.9090909361839294
0.17495938766629657,0.800000011920929,21,87,,
,,21,87,0.09731707721948624,0.9090909361839294
0.17383466247569743,0.800000011920929,22,91,,
,,22,91,0.09593597799539566,0.9090909361839294
0.1725296632457824,0.800000011920929,23,95,,
,,23,95,0.09449360519647598,0.9090909361839294
0.1725306175531503,0.800000011920929,24,99,,
,,24,99,0.09362730383872986,0.9090909361839294
0.17260647481765215,0.800000011920929,25,103,,
,,25,103,0.09260185062885284,0.9090909361839294
0.1719724506306691,0.800000011920929,26,107,,
,,26,107,0.09143553674221039,0.9090909361839294
0.1723650434571733,0.800000011920929,27,111,,
,,27,111,0.09058208763599396,0.9090909361839294
0.1735387734977612,0.800000011920929,28,115,,
,,28,115,0.089703768491745,0.9090909361839294
0.17244410773714514,0.800000011920929,29,119,,
,,29,119,0.08859468996524811,0.9090909361839294
0.17246945408017061,0.800000011920929,30,123,,
,,30,123,0.08744564652442932,0.9090909361839294
0.17337729508198876,0.800000011920929,31,127,,
,,31,127,0.08603871613740921,0.9090909361839294
0.17114919217821759,0.800000011920929,32,131,,
,,32,131,0.08473112434148788,0.9090909361839294
0.17120006415549638,0.800000011920929,33,135,,
,,33,135,0.08439778536558151,0.9090909361839294
0.17141852852318085,0.800000011920929,34,139,,
,,34,139,0.0835518091917038,0.9090909361839294
0.1700720729976615,0.8399999737739563,35,143,,
,,35,143,0.08246902376413345,0.9090909361839294
0.1697293856536437,0.8399999737739563,36,147,,
,,36,147,0.08215548098087311,0.9090909361839294
0.17046263364096706,0.8399999737739563,37,151,,
,,37,151,0.08180650323629379,0.9090909361839294
0.16995996667614538,0.8399999737739563,38,155,,
,,38,155,0.08124351501464844,0.9090909361839294
0.16929932069294634,0.8399999737739563,39,159,,
,,39,159,0.08073459565639496,0.9090909361839294
0.16946214948257968,0.8399999737739563,40,163,,
,,40,163,0.0805433914065361,0.9090909361839294
0.17070534297760293,0.8399999737739563,41,167,,
,,41,167,0.08044374734163284,0.9090909361839294
0.16993835423949752,0.8399999737739563,42,171,,
,,42,171,0.08003802597522736,0.9292929172515869
0.16867762835888572,0.8399999737739563,43,175,,
,,43,175,0.07953573763370514,0.9292929172515869
0.1684915706013048,0.8399999737739563,44,179,,
,,44,179,0.07954343408346176,0.9292929172515869
0.17033448774022752,0.8399999737739563,45,183,,
,,45,183,0.07945077866315842,0.9292929172515869
0.1700353311524361,0.8399999737739563,46,187,,
,,46,187,0.07926106452941895,0.9292929172515869
0.16815404765119196,0.8399999737739563,47,191,,
,,47,191,0.07881339639425278,0.9292929172515869
0.16763415807835438,0.8399999737739563,48,195,,
,,48,195,0.07872481644153595,0.9292929172515869
0.16739560652449062,0.8399999737739563,49,199,,
,,49,199,0.07860679179430008,0.9292929172515869
0.16720250263426492,0.8399999737739563,50,203,,
,,50,203,0.0782417356967926,0.9292929172515869
0.168015049636755,0.8399999737739563,51,207,,
,,51,207,0.07841075211763382,0.9292929172515869
0.16757060790830006,0.8399999737739563,52,211,,
,,52,211,0.0780956894159317,0.9292929172515869
0.16725253424782946,0.8399999737739563,53,215,,
,,53,215,0.077788345515728,0.9292929172515869
0.16703034178150528,0.8399999737739563,54,219,,
,,54,219,0.0777314305305481,0.9292929172515869
0.166894990187141,0.8399999737739563,55,223,,
,,55,223,0.07763112336397171,0.9292929172515869
0.1667772390168651,0.8399999737739563,56,227,,
,,56,227,0.07738500833511353,0.9292929172515869
0.16708730576262693,0.8399999737739563,57,231,,
,,57,231,0.07727210968732834,0.9292929172515869
0.16700791567128584,0.8399999737739563,58,235,,
,,58,235,0.0773373693227768,0.9292929172515869
0.16658150963363713,0.8399999737739563,59,239,,
,,59,239,0.0770738422870636,0.9292929172515869
0.16629138768638108,0.8399999737739563,60,243,,
,,60,243,0.076991967856884,0.9292929172515869
0.1661385629008298,0.8399999737739563,61,247,,
,,61,247,0.07694704085588455,0.9292929172515869
0.16604231917114448,0.8399999737739563,62,251,,
,,62,251,0.07676199823617935,0.9292929172515869
0.16592336093270113,0.8399999737739563,63,255,,
,,63,255,0.07657745480537415,0.9292929172515869
0.16566764901657025,0.8399999737739563,64,259,,
,,64,259,0.07643090188503265,0.9292929172515869
0.16581285862954703,0.8399999737739563,65,263,,
,,65,263,0.07640670239925385,0.9292929172515869
0.16579015975350164,0.8399999737739563,66,267,,
,,66,267,0.07634027302265167,0.9292929172515869
0.1656399452023163,0.8399999737739563,67,271,,
,,67,271,0.07623686641454697,0.9292929172515869
0.1655270069254276,0.8399999737739563,68,275,,
,,68,275,0.07616178691387177,0.9292929172515869
0.16546338593273327,0.8399999737739563,69,279,,
,,69,279,0.0760888010263443,0.9292929172515869
0.16530722952514199,0.8399999737739563,70,283,,
,,70,283,0.07597092539072037,0.9292929172515869
0.16504223538057367,0.8399999737739563,71,287,,
,,71,287,0.07584477216005325,0.9292929172515869
0.16481868207441586,0.8399999737739563,72,291,,
,,72,291,0.07573381066322327,0.9292929172515869
0.16465968959694574,0.8399999737739563,73,295,,
,,73,295,0.07562258094549179,0.9292929172515869
0.16445166188770158,0.8399999737739563,74,299,,
,,74,299,0.07551241666078568,0.9292929172515869
0.1646665214590407,0.8399999737739563,75,303,,
,,75,303,0.07548380643129349,0.9292929172515869
0.16479616978759837,0.8399999737739563,76,307,,
,,76,307,0.07547083497047424,0.9292929172515869
0.16464091711318993,0.8399999737739563,77,311,,
,,77,311,0.07540792971849442,0.9292929172515869
0.16436504219737091,0.8399999737739563,78,315,,
,,78,315,0.0752890408039093,0.9292929172515869
0.16418294198933764,0.8399999737739563,79,319,,
,,79,319,0.07525786012411118,0.9292929172515869
0.16409902621700456,0.8399999737739563,80,323,,
,,80,323,0.07519294321537018,0.9292929172515869
0.16406930890168359,0.8399999737739563,81,327,,
,,81,327,0.07508451491594315,0.9292929172515869
0.16394799153933995,0.8399999737739563,82,331,,
,,82,331,0.07499654591083527,0.9292929172515869
0.16373761089108918,0.8399999737739563,83,335,,
,,83,335,0.07491227239370346,0.9292929172515869
0.16348889106032236,0.8399999737739563,84,339,,
,,84,339,0.0748186856508255,0.9292929172515869
0.1633334408254021,0.8399999737739563,85,343,,
,,85,343,0.07474420219659805,0.9292929172515869
0.16326587990431107,0.8399999737739563,86,347,,
,,86,347,0.07466991990804672,0.9292929172515869
