validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy
0.25005481408233476,0.4399999976158142,0,3,,
,,0,3,0.2525770366191864,0.39393940567970276
0.2533053245425162,0.5199999809265137,1,7,,
,,1,7,0.2516555190086365,0.4343434274196625
0.25769313112297665,0.47999998927116394,2,11,,
,,2,11,0.25068172812461853,0.46464645862579346
0.26165527057732363,0.4000000059604645,3,15,,
,,3,15,0.2503727376461029,0.5656565427780151
0.26408301587890765,0.47999998927116394,4,19,,
,,4,19,0.25062453746795654,0.5151515007019043
0.26486921401864316,0.47999998927116394,5,23,,
,,5,23,0.2510119676589966,0.5555555820465088
0.2651944905532528,0.5199999809265137,6,27,,
,,6,27,0.25176870822906494,0.5858585834503174
0.26432577351042474,0.6399999856948853,7,31,,
,,7,31,0.25329816341400146,0.6666666865348816
0.265291242997771,0.6800000071525574,8,35,,
,,8,35,0.25717905163764954,0.6767676472663879
0.27224925300787295,0.7599999904632568,9,39,,
,,9,39,0.26606300473213196,0.7070707082748413
0.2853205556258244,0.7200000286102295,10,43,,
,,10,43,0.28082534670829773,0.7070707082748413
0.2984588313828636,0.7200000286102295,11,47,,
,,11,47,0.29869091510772705,0.7373737096786499
0.30963742942667444,0.7599999904632568,12,51,,
,,12,51,0.3162604570388794,0.7676767706871033
0.3220591976618307,0.8399999737739563,13,55,,
,,13,55,0.3323974609375,0.8181818127632141
0.3372555824144275,0.8399999737739563,14,59,,
,,14,59,0.34570735692977905,0.8383838534355164
0.35308106210569,0.8399999737739563,15,63,,
,,15,63,0.3573528230190277,0.8484848737716675
0.3656551562167303,0.800000011920929,16,67,,
,,16,67,0.36920058727264404,0.868686854839325
0.37495359935872613,0.800000011920929,17,71,,
,,17,71,0.37956714630126953,0.8585858345031738
0.3822219737061429,0.800000011920929,18,75,,
,,18,75,0.3881390392780304,0.8585858345031738
0.38688543031720085,0.800000011920929,19,79,,
,,19,79,0.39471304416656494,0.8585858345031738
0.38980413508144435,0.800000011920929,20,83,,
,,20,83,0.3994305431842804,0.8585858345031738
0.39324788457829135,0.800000011920929,21,87,,
,,21,87,0.40311500430107117,0.8585858345031738
0.3963606460868126,0.800000011920929,22,91,,
,,22,91,0.40650010108947754,0.868686854839325
0.3985398283324557,0.800000011920929,23,95,,
,,23,95,0.409074604511261,0.868686854839325
0.40092297228694773,0.7599999904632568,24,99,,
,,24,99,0.4110952317714691,0.8787878751754761
0.40344583112592924,0.7599999904632568,25,103,,
,,25,103,0.41324612498283386,0.8787878751754761
0.40543822908774246,0.7599999904632568,26,107,,
,,26,107,0.41503414511680603,0.8787878751754761
0.40771373280562523,0.7599999904632568,27,111,,
,,27,111,0.4165552258491516,0.8888888955116272
0.41014781036317516,0.7599999904632568,28,115,,
,,28,115,0.4183538556098938,0.8888888955116272
0.41196557694952946,0.7599999904632568,29,119,,
,,29,119,0.4200952649116516,0.8888888955116272
0.4130995856757614,0.7599999904632568,30,123,,
,,30,123,0.42138680815696716,0.8888888955116272
0.41552823600755834,0.7599999904632568,31,127,,
,,31,127,0.42266109585762024,0.8989899158477783
0.41804701841567876,0.7599999904632568,32,131,,
,,32,131,0.4245736598968506,0.8989899158477783
0.41872793089407134,0.7599999904632568,33,135,,
,,33,135,0.42599377036094666,0.8989899158477783
0.41968147426486735,0.7599999904632568,34,139,,
,,34,139,0.4272267520427704,0.8989899158477783
0.42076919156800147,0.7599999904632568,35,143,,
,,35,143,0.42850232124328613,0.8989899158477783
0.42294837604903146,0.7599999904632568,36,147,,
,,36,147,0.42975208163261414,0.8989899158477783
0.42345260055799405,0.7599999904632568,37,151,,
,,37,151,0.43133652210235596,0.8989899158477783
0.42388479192054473,0.7599999904632568,38,155,,
,,38,155,0.4322582483291626,0.8989899158477783
0.42534247106061995,0.7599999904632568,39,159,,
,,39,159,0.43346840143203735,0.8989899158477783
0.42618639152363486,0.7599999904632568,40,163,,
,,40,163,0.43464526534080505,0.8989899158477783
0.4278296782034212,0.7599999904632568,41,167,,
,,41,167,0.4356707036495209,0.8989899158477783
0.42874939878570406,0.7599999904632568,42,171,,
,,42,171,0.4368382394313812,0.8989899158477783
