validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy
0.2538043931862578,0.6399999856948853,0,3,,
,,0,3,0.24871988594532013,0.46464645862579346
0.25368257347398543,0.6399999856948853,1,7,,
,,1,7,0.24635913968086243,0.46464645862579346
0.25248605582424644,0.6399999856948853,2,11,,
,,2,11,0.24288691580295563,0.46464645862579346
0.2513357486705553,0.6399999856948853,3,15,,
,,3,15,0.2380412071943283,0.46464645862579346
0.25002898489828107,0.6399999856948853,4,19,,
,,4,19,0.23237214982509613,0.46464645862579346
0.24783993637701862,0.6399999856948853,5,23,,
,,5,23,0.225989431142807,0.46464645862579346
0.2440625136016743,0.6399999856948853,6,27,,
,,6,27,0.2188108265399933,0.46464645862579346
0.24022624566964035,0.6399999856948853,7,31,,
,,7,31,0.21080398559570312,0.46464645862579346
0.2376783480347709,0.6399999856948853,8,35,,
,,8,35,0.2017369270324707,0.46464645862579346
0.23499216447343885,0.6399999856948853,9,39,,
,,9,39,0.19190743565559387,0.46464645862579346
0.23017426468450497,0.6399999856948853,10,43,,
,,10,43,0.18173034489154816,0.46464645862579346
0.22532537527287932,0.6399999856948853,11,47,,
,,11,47,0.1715029776096344,0.46464645862579346
0.22313684319575755,0.6399999856948853,12,51,,
,,12,51,0.16178065538406372,0.46464645862579346
0.21959376334089584,0.6399999856948853,13,55,,
,,13,55,0.15403218567371368,0.46464645862579346
0.21420554448052925,0.6399999856948853,14,59,,
,,14,59,0.14725622534751892,0.46464645862579346
0.21205762484595428,0.6399999856948853,15,63,,
,,15,63,0.1415427327156067,0.46464645862579346
0.2146101533620831,0.6399999856948853,16,67,,
,,16,67,0.13633711636066437,0.46464645862579346
0.21331695156179883,0.6399999856948853,17,71,,
,,17,71,0.13117577135562897,0.46464645862579346
0.21303922704602812,0.6399999856948853,18,75,,
,,18,75,0.12698544561862946,0.46464645862579346
0.21511127309582107,0.6399999856948853,19,79,,
,,19,79,0.1223713830113411,0.46464645862579346
0.21601334055668645,0.6399999856948853,20,83,,
,,20,83,0.11811046302318573,0.46464645862579346
0.213933671143341,0.6399999856948853,21,87,,
,,21,87,0.11412274092435837,0.46464645862579346
0.21297598659918507,0.6399999856948853,22,91,,
,,22,91,0.1094648689031601,0.46464645862579346
0.21140361860943974,0.6399999856948853,23,95,,
