val_loss,val_accuracy,epoch,step,loss,accuracy
0.23334340725262134,0.7368420958518982,0,3,,
,,0,3,0.23282265663146973,0.6380952596664429
0.22898231515773768,0.6842105388641357,1,7,,
,,1,7,0.22786599397659302,0.6857143044471741
0.22352857925268685,0.6842105388641357,2,11,,
,,2,11,0.21939751505851746,0.7142857313156128
0.21517768920481253,0.7368420958518982,3,15,,
,,3,15,0.20682647824287415,0.7428571581840515
0.20504642074130164,0.6842105388641357,4,19,,
,,4,19,0.18873240053653717,0.7809523940086365
0.20060741587888814,0.6842105388641357,5,23,,
,,5,23,0.17029038071632385,0.8095238208770752
0.20294685986483926,0.7894737124443054,6,27,,
,,6,27,0.15515059232711792,0.8476190567016602
0.2043878455060937,0.7894737124443054,7,31,,
,,7,31,0.14347417652606964,0.8571428656578064
0.20626075465128196,0.7894737124443054,8,35,,
,,8,35,0.13344275951385498,0.8761904835700989
0.21220355057644819,0.7894737124443054,9,39,,
,,9,39,0.12538252770900726,0.8857142925262451
0.2191355367849207,0.7894737124443054,10,43,,
,,10,43,0.11915003508329391,0.8857142925262451
0.22348613642453277,0.7368420958518982,11,47,,
,,11,47,0.11452268809080124,0.8857142925262451
0.22680974379965002,0.7368420958518982,12,51,,
,,12,51,0.11137953400611877,0.8761904835700989
0.23037690898701732,0.7368420958518982,13,55,,
,,13,55,0.10967059433460236,0.8761904835700989
0.23232598022815137,0.7368420958518982,14,59,,
,,14,59,0.10859259963035583,0.8761904835700989
0.23239192995214844,0.7368420958518982,15,63,,
,,15,63,0.10766345262527466,0.8761904835700989
0.2327904658158762,0.7368420958518982,16,67,,
,,16,67,0.10703518986701965,0.8761904835700989
0.23289297309321735,0.7368420958518982,17,71,,
,,17,71,0.10658866167068481,0.8761904835700989
0.2314294236081672,0.7368420958518982,18,75,,
,,18,75,0.10594117641448975,0.8761904835700989
0.2300897980943505,0.7368420958518982,19,79,,
,,19,79,0.10540580004453659,0.8761904835700989
0.2292985756502779,0.7368420958518982,20,83,,
,,20,83,0.10495708137750626,0.8761904835700989
0.22873870429021953,0.7368420958518982,21,87,,
,,21,87,0.10449887067079544,0.8761904835700989
0.22752969615293447,0.7368420958518982,22,91,,
,,22,91,0.10391882061958313,0.8761904835700989
0.22638478650421937,0.7368420958518982,23,95,,
,,23,95,0.10335494577884674,0.8761904835700989
0.22577044735534396,0.7368420958518982,24,99,,
,,24,99,0.10290069878101349,0.8761904835700989
0.22518108861348632,0.7368420958518982,25,103,,
,,25,103,0.10240357369184494,0.8761904835700989
