validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy,test_loss,test_accuracy
0.2576584632869114,0.6000000238418579,19,79,,,,
,,19,79,0.25023481249809265,0.4747474789619446,,
0.2576383690536841,0.6000000238418579,20,83,,,,
,,20,83,0.25018566846847534,0.4747474789619446,,
0.2576042691631667,0.6000000238418579,21,87,,,,
,,21,87,0.25015348196029663,0.4747474789619446,,
0.2574713351954042,0.6000000238418579,22,91,,,,
,,22,91,0.2501246929168701,0.4747474789619446,,
0.25736186273590755,0.6000000238418579,23,95,,,,
,,23,95,0.2500915825366974,0.4747474789619446,,
0.2573023415139906,0.6000000238418579,24,99,,,,
,,24,99,0.2500661313533783,0.4747474789619446,,
0.25722710222240436,0.6000000238418579,25,103,,,,
,,25,103,0.250042200088501,0.4747474789619446,,
0.25710847600552017,0.6000000238418579,26,107,,,,
,,26,107,0.2500170171260834,0.4747474789619446,,
0.25702566006368444,0.6000000238418579,27,111,,,,
,,27,111,0.24998360872268677,0.4747474789619446,,
0.2570106635871118,0.6000000238418579,28,115,,,,
,,28,115,0.24995143711566925,0.4747474789619446,,
0.2569903767850584,0.6000000238418579,29,119,,,,
,,29,119,0.24993595480918884,0.4747474789619446,,
0.2569522197388614,0.6000000238418579,30,123,,,,
,,30,123,0.24991720914840698,0.4747474789619446,,
0.2569488298866374,0.6000000238418579,31,127,,,,
,,31,127,0.24989011883735657,0.4747474789619446,,
0.25690176669983067,0.6000000238418579,32,131,,,,
,,32,131,0.24987143278121948,0.4747474789619446,,
0.25678553382898966,0.6000000238418579,33,135,,,,
,,33,135,0.24985764920711517,0.4747474789619446,,
0.25667348696483033,0.6000000238418579,34,139,,,,
,,34,139,0.2498369663953781,0.4747474789619446,,
0.2566702536697411,0.6000000238418579,35,143,,,,
,,35,143,0.24981270730495453,0.4747474789619446,,
0.25665957963885977,0.6000000238418579,36,147,,,,
,,36,147,0.249799907207489,0.4747474789619446,,
0.2565398220227177,0.6000000238418579,37,151,,,,
,,37,151,0.24978666007518768,0.4747474789619446,,
0.2564392530580392,0.6000000238418579,38,155,,,,
,,38,155,0.24976803362369537,0.4747474789619446,,
0.25632680273960706,0.6000000238418579,39,159,,,,
,,39,159,0.24975545704364777,0.4747474789619446,,
0.25624181210702107,0.6000000238418579,40,163,,,,
,,40,163,0.24973832070827484,0.4747474789619446,,
0.256258839379767,0.6000000238418579,41,167,,,,
,,41,167,0.24971763789653778,0.4747474789619446,,
0.25627316994223154,0.6000000238418579,42,171,,,,
,,42,171,0.24970600008964539,0.4747474789619446,,
0.2561748319233098,0.6000000238418579,43,175,,,,
,,43,175,0.24969696998596191,0.4747474789619446,,
0.2560153837227905,0.6000000238418579,44,179,,,,
,,44,179,0.24968039989471436,0.4747474789619446,,
0.25598228854054056,0.6000000238418579,45,183,,,,
,,45,183,0.2496594935655594,0.4747474789619446,,
0.25595645057955063,0.6000000238418579,46,187,,,,
,,46,187,0.24964965879917145,0.4747474789619446,,
0.25581890253425327,0.6000000238418579,47,191,,,,
,,47,191,0.2496410310268402,0.4747474789619446,,
0.2557050045040976,0.6000000238418579,48,195,,,,
,,48,195,0.2496277391910553,0.4747474789619446,,
0.2556395107259563,0.6000000238418579,49,199,,,,
,,49,199,0.24961937963962555,0.4747474789619446,,
0.2555482768850274,0.6000000238418579,50,203,,,,
,,50,203,0.2496117800474167,0.4747474789619446,,
0.2554148624688776,0.6000000238418579,51,207,,,,
,,51,207,0.24959835410118103,0.4747474789619446,,
0.2553697302114985,0.6000000238418579,52,211,,,,
,,52,211,0.24958227574825287,0.4747474789619446,,
0.25531655676064363,0.6000000238418579,53,215,,,,
,,53,215,0.24957796931266785,0.4747474789619446,,
0.25517472081707226,0.6000000238418579,54,219,,,,
,,54,219,0.24957682192325592,0.4747474789619446,,
0.25501535607719567,0.6000000238418579,55,223,,,,
,,55,223,0.24956592917442322,0.4747474789619446,,
0.25499212809402505,0.6000000238418579,56,227,,,,
,,56,227,0.24954959750175476,0.4747474789619446,,
0.25500551579841524,0.6000000238418579,57,231,,,,
,,57,231,0.2495432049036026,0.4747474789619446,,
0.2549296829421099,0.6000000238418579,58,235,,,,
,,58,235,0.2495419979095459,0.4747474789619446,,
0.2547639867442239,0.6000000238418579,59,239,,,,
,,59,239,0.24953873455524445,0.4747474789619446,,
0.25459731609174324,0.6000000238418579,60,243,,,,
,,60,243,0.24952669441699982,0.4747474789619446,,
0.2545629729836106,0.6000000238418579,61,247,,,,
,,61,247,0.2495117038488388,0.4747474789619446,,
0.2545557510976382,0.6000000238418579,62,251,,,,
,,62,251,0.2495083063840866,0.4747474789619446,,
0.2544955726321501,0.6000000238418579,63,255,,,,
,,63,255,0.2495088130235672,0.4747474789619446,,
0.2543515914236303,0.6000000238418579,64,259,,,,
,,64,259,0.24950478971004486,0.4747474789619446,,
0.2541937300533337,0.6000000238418579,65,263,,,,
,,65,263,0.24949601292610168,0.4747474789619446,,
0.25407688502565756,0.6000000238418579,66,267,,,,
,,66,267,0.24948401749134064,0.4747474789619446,,
0.25408181667457186,0.6000000238418579,67,271,,,,
,,67,271,0.24947389960289001,0.4747474789619446,,
0.25403831705149565,0.6000000238418579,68,275,,,,
,,68,275,0.2494756132364273,0.4747474789619446,,
0.2539195460337731,0.6000000238418579,69,279,,,,
,,69,279,0.24947692453861237,0.4747474789619446,,
0.25379631854288426,0.6000000238418579,70,283,,,,
,,70,283,0.24947015941143036,0.4747474789619446,,
0.2536894425342625,0.6000000238418579,71,287,,,,
,,71,287,0.24946141242980957,0.4747474789619446,,
0.25356830356843996,0.6000000238418579,72,291,,,,
,,72,291,0.24945636093616486,0.4747474789619446,,
0.2534370258735078,0.6000000238418579,73,295,,,,
,,73,295,0.2494526505470276,0.4747474789619446,,
0.25341770001581,0.6000000238418579,74,299,,,,
,,74,299,0.24944598972797394,0.4747474789619446,,
0.2533708250305531,0.6000000238418579,75,303,,,,
,,75,303,0.2494456171989441,0.4747474789619446,,
0.25328919841605485,0.6000000238418579,76,307,,,,
,,76,307,0.24944475293159485,0.4747474789619446,,
0.2531941084731512,0.6000000238418579,77,311,,,,
,,77,311,0.24943988025188446,0.4747474789619446,,
0.25313230915080903,0.6000000238418579,78,315,,,,
,,78,315,0.24943393468856812,0.4747474789619446,,
0.25308287534330665,0.6000000238418579,79,319,,,,
,,79,319,0.24942900240421295,0.4747474789619446,,
0.25295639199392844,0.6000000238418579,80,323,,,,
,,80,323,0.2494235336780548,0.4747474789619446,,
0.2529137638391211,0.6000000238418579,81,327,,,,
,,81,327,0.24941641092300415,0.4747474789619446,,
0.25291156204479476,0.6000000238418579,82,331,,,,
,,82,331,0.2494165003299713,0.4747474789619446,,
0.25287897597008435,0.6000000238418579,83,335,,,,
,,83,335,0.24941658973693848,0.4747474789619446,,
0.25278578164380466,0.6000000238418579,84,339,,,,
,,84,339,0.24941258132457733,0.4747474789619446,,
0.2527109485749368,0.6000000238418579,85,343,,,,
,,85,343,0.2494061142206192,0.4747474789619446,,
0.2526926824124544,0.6000000238418579,86,347,,,,
,,86,347,0.2494017332792282,0.4747474789619446,,
0.25262445476681766,0.6000000238418579,87,351,,,,
,,87,351,0.2494008094072342,0.4747474789619446,,
0.2525103232730301,0.6000000238418579,88,355,,,,
,,88,355,0.24939575791358948,0.4747474789619446,,
0.2525178719626015,0.6000000238418579,89,359,,,,
,,89,359,0.24938614666461945,0.4747474789619446,,
0.2525455713371116,0.6000000238418579,90,363,,,,
,,90,363,0.24938450753688812,0.4747474789619446,,
0.2525322729570523,0.6000000238418579,91,367,,,,
,,91,367,0.24938556551933289,0.4747474789619446,,
0.25245453149485964,0.6000000238418579,92,371,,,,
,,92,371,0.2493831217288971,0.4747474789619446,,
0.2523833624697702,0.6000000238418579,93,375,,,,
,,93,375,0.24937662482261658,0.4747474789619446,,
0.25234491467020403,0.6000000238418579,94,379,,,,
,,94,379,0.2493709772825241,0.4747474789619446,,
0.25230446180375743,0.6000000238418579,95,383,,,,
,,95,383,0.2493686079978943,0.4747474789619446,,
0.2522248770182628,0.6000000238418579,96,387,,,,
,,96,387,0.24936756491661072,0.4747474789619446,,
0.2521488329440286,0.6000000238418579,97,391,,,,
,,97,391,0.24936239421367645,0.4747474789619446,,
0.2521310814093967,0.6000000238418579,98,395,,,,
,,98,395,0.24935434758663177,0.4747474789619446,,
0.25211384648999247,0.6000000238418579,99,399,,,,
,,99,399,0.24935419857501984,0.4747474789619446,,
,,100,400,,,0.2531903325192093,0.5
