validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy
0.25596091168043816,0.5199999809265137,0,3,,
,,0,3,0.2696384787559509,0.49494948983192444
0.2518501267182953,0.5600000023841858,1,7,,
,,1,7,0.2557114064693451,0.4848484992980957
0.2637175230775254,0.4399999976158142,2,11,,
,,2,11,0.25102731585502625,0.5252525210380554
0.2690123506814745,0.4399999976158142,3,15,,
,,3,15,0.2597740888595581,0.5151515007019043
0.26154648899683053,0.4399999976158142,4,19,,
,,4,19,0.26185742020606995,0.5050504803657532
0.25425176504956903,0.47999998927116394,5,23,,
,,5,23,0.2562613785266876,0.49494948983192444
0.2514127763800177,0.5600000023841858,6,27,,
,,6,27,0.252236545085907,0.5454545617103577
0.2508560512401811,0.6800000071525574,7,31,,
,,7,31,0.25093892216682434,0.5757575631141663
0.251268203178918,0.7200000286102295,8,35,,
,,8,35,0.25054213404655457,0.5959596037864685
0.25237275321927016,0.5199999809265137,9,39,,
,,9,39,0.250534325838089,0.5555555820465088
0.25372672758470743,0.5199999809265137,10,43,,
,,10,43,0.25103190541267395,0.5555555820465088
0.2545941160792512,0.47999998927116394,11,47,,
,,11,47,0.2517950236797333,0.5353535413742065
0.2546075697090525,0.47999998927116394,12,51,,
,,12,51,0.2522895038127899,0.5252525210380554
0.25403851120266535,0.5199999809265137,13,55,,
,,13,55,0.2522720694541931,0.5252525210380554
0.2533731342809343,0.5199999809265137,14,59,,
,,14,59,0.25193366408348083,0.5252525210380554
0.2529122439692516,0.5600000023841858,15,63,,
,,15,63,0.2515598237514496,0.5555555820465088
0.25272988642941235,0.6800000071525574,16,67,,
,,16,67,0.2513015568256378,0.5555555820465088
0.2527784348225423,0.6800000071525574,17,71,,
,,17,71,0.2511862516403198,0.5757575631141663
0.2529489891755808,0.6800000071525574,18,75,,
,,18,75,0.2511891722679138,0.5555555820465088
0.25312972791334526,0.6800000071525574,19,79,,
,,19,79,0.25125589966773987,0.5555555820465088
0.2532426436248079,0.6800000071525574,20,83,,
,,20,83,0.2513282001018524,0.5555555820465088
0.2532643741103802,0.6800000071525574,21,87,,
,,21,87,0.2513639032840729,0.5454545617103577
0.25321772075767707,0.6800000071525574,22,91,,
,,22,91,0.25135132670402527,0.5454545617103577
0.253153609184348,0.6800000071525574,23,95,,
,,23,95,0.2513026297092438,0.5252525210380554
0.2531042066321681,0.6800000071525574,24,99,,
,,24,99,0.2512474060058594,0.5353535413742065
0.2530753937162458,0.6800000071525574,25,103,,
,,25,103,0.251202791929245,0.5454545617103577
0.25308172643687404,0.7200000286102295,26,107,,
,,26,107,0.25116974115371704,0.5454545617103577
0.2531181568043635,0.7200000286102295,27,111,,
,,27,111,0.25115442276000977,0.5454545617103577
0.2531534050380226,0.7200000286102295,28,115,,
,,28,115,0.2511512339115143,0.5353535413742065
0.2531677549153812,0.7200000286102295,29,119,,
,,29,119,0.25114941596984863,0.5353535413742065
0.25317193566287216,0.7200000286102295,30,123,,
,,30,123,0.251137375831604,0.5353535413742065
0.25315921597944585,0.7200000286102295,31,127,,
,,31,127,0.25112226605415344,0.5353535413742065
0.25314215030708603,0.7200000286102295,32,131,,
,,32,131,0.2510988116264343,0.5454545617103577
0.25312147471052876,0.7200000286102295,33,135,,
,,33,135,0.25107190012931824,0.5353535413742065
0.2531133621342781,0.7200000286102295,34,139,,
,,34,139,0.2510432302951813,0.5454545617103577
0.2531168467020478,0.7200000286102295,35,143,,
,,35,143,0.2510223090648651,0.5353535413742065
0.2531430433174656,0.7200000286102295,36,147,,
,,36,147,0.2510061264038086,0.5353535413742065
0.2531645299299743,0.7200000286102295,37,151,,
,,37,151,0.25100287795066833,0.5252525210380554
0.25318359472154167,0.7200000286102295,38,155,,
,,38,155,0.25100189447402954,0.5252525210380554
0.2531985850671075,0.7200000286102295,39,159,,
,,39,159,0.25100013613700867,0.5151515007019043
0.2531945183391016,0.7200000286102295,40,163,,
,,40,163,0.250995397567749,0.5050504803657532
0.25317375007981036,0.7200000286102295,41,167,,
,,41,167,0.25098419189453125,0.5050504803657532
0.25314712668410205,0.7200000286102295,42,171,,
,,42,171,0.250969260931015,0.5050504803657532
0.2531248801683929,0.7200000286102295,43,175,,
,,43,175,0.2509528398513794,0.5050504803657532
0.25311717512428755,0.7200000286102295,44,179,,
,,44,179,0.2509349286556244,0.5151515007019043
0.2531048078407501,0.7200000286102295,45,183,,
,,45,183,0.2509237229824066,0.5151515007019043
0.2530778466216958,0.7200000286102295,46,187,,
,,46,187,0.25091299414634705,0.5050504803657532
0.2530401807474018,0.7200000286102295,47,191,,
,,47,191,0.25089776515960693,0.5151515007019043
0.25300267873372384,0.7200000286102295,48,195,,
,,48,195,0.25087904930114746,0.5151515007019043
0.2529831778255521,0.7200000286102295,49,199,,
,,49,199,0.250857949256897,0.5151515007019043
0.25297484886032034,0.7200000286102295,50,203,,
,,50,203,0.2508407533168793,0.5050504803657532
0.25295127157639696,0.7200000286102295,51,207,,
,,51,207,0.2508305013179779,0.5050504803657532
0.252931480625116,0.7200000286102295,52,211,,
,,52,211,0.250811904668808,0.5050504803657532
0.2529211363756922,0.7200000286102295,53,215,,
,,53,215,0.25079602003097534,0.5050504803657532
0.2529073067401247,0.7200000286102295,54,219,,
,,54,219,0.25078582763671875,0.5050504803657532
0.2529051939444638,0.7200000286102295,55,223,,
,,55,223,0.2507690489292145,0.49494948983192444
0.2529033549158637,0.7200000286102295,56,227,,
,,56,227,0.25075677037239075,0.49494948983192444
0.2528904354376211,0.7200000286102295,57,231,,
,,57,231,0.25074639916419983,0.5050504803657532
0.25287059260958505,0.7200000286102295,58,235,,
,,58,235,0.2507331073284149,0.5050504803657532
0.2528593630035271,0.7200000286102295,59,239,,
,,59,239,0.2507171332836151,0.5050504803657532
0.25286385248213317,0.7200000286102295,60,243,,
,,60,243,0.25070565938949585,0.5050504803657532
0.2528583563307731,0.6800000071525574,61,247,,
,,61,247,0.2507004737854004,0.5050504803657532
0.2528418232384035,0.6800000071525574,62,251,,
,,62,251,0.2506902515888214,0.5050504803657532
0.25282008459772465,0.6800000071525574,63,255,,
,,63,255,0.25067874789237976,0.5050504803657532
0.2527927788247793,0.6800000071525574,64,259,,
,,64,259,0.25066813826560974,0.49494948983192444
0.2527700245993957,0.6800000071525574,65,263,,
,,65,263,0.250654399394989,0.49494948983192444
0.2527486904805573,0.6800000071525574,66,267,,
,,66,267,0.2506411671638489,0.49494948983192444
0.25272206512414375,0.6800000071525574,67,271,,
,,67,271,0.2506294846534729,0.49494948983192444
0.2526952198775824,0.6800000071525574,68,275,,
,,68,275,0.25061649084091187,0.49494948983192444
0.2526747512667489,0.6800000071525574,69,279,,
,,69,279,0.25060340762138367,0.49494948983192444
0.25266647679707116,0.6800000071525574,70,283,,
,,70,283,0.2505916357040405,0.49494948983192444
0.2526528951456856,0.6800000071525574,71,287,,
,,71,287,0.25058361887931824,0.5050504803657532
0.2526198532193109,0.6800000071525574,72,291,,
,,72,291,0.25057414174079895,0.5050504803657532
0.25258234627382964,0.6800000071525574,73,295,,
,,73,295,0.2505548894405365,0.5050504803657532
0.2525545399600351,0.6800000071525574,74,299,,
,,74,299,0.25053438544273376,0.5050504803657532
0.252541008616008,0.6800000071525574,75,303,,
,,75,303,0.25051480531692505,0.5050504803657532
0.25253143119237587,0.6800000071525574,76,307,,
,,76,307,0.2505001425743103,0.5050504803657532
0.2525265758854414,0.6800000071525574,77,311,,
,,77,311,0.25048813223838806,0.5050504803657532
0.25251732743504224,0.6800000071525574,78,315,,
,,78,315,0.25047779083251953,0.5050504803657532
0.25249223588979547,0.6800000071525574,79,319,,
,,79,319,0.2504657506942749,0.5050504803657532
0.2524670084223135,0.6800000071525574,80,323,,
,,80,323,0.2504459619522095,0.5050504803657532
0.25243881432524656,0.6800000071525574,81,327,,
,,81,327,0.25042784214019775,0.5050504803657532
0.2524145185596946,0.6800000071525574,82,331,,
,,82,331,0.25040799379348755,0.49494948983192444
0.2523948266524489,0.6800000071525574,83,335,,
,,83,335,0.25038814544677734,0.49494948983192444
0.2523728995742612,0.6800000071525574,84,339,,
,,84,339,0.2503708600997925,0.49494948983192444
0.2523540652981068,0.6800000071525574,85,343,,
,,85,343,0.25035360455513,0.49494948983192444
0.252342104902067,0.6800000071525574,86,347,,
,,86,347,0.2503366470336914,0.5050504803657532
0.25232580314809866,0.6800000071525574,87,351,,
,,87,351,0.25032004714012146,0.5050504803657532
0.2523072193793532,0.6800000071525574,88,355,,
,,88,355,0.250300794839859,0.5050504803657532
0.2522781834645458,0.6800000071525574,89,359,,
,,89,359,0.2502835988998413,0.5151515007019043
0.25225247130640593,0.6800000071525574,90,363,,
,,90,363,0.2502622604370117,0.5252525210380554
0.25223913816206367,0.6800000071525574,91,367,,
,,91,367,0.25024059414863586,0.5252525210380554
0.2522248974857519,0.6800000071525574,92,371,,
,,92,371,0.25022390484809875,0.5252525210380554
0.25220709077946957,0.6800000071525574,93,375,,
